Group,Sub_Contructor,TP_value,TP_No,Step,Major_Priority,Sub_system,Test_media,Test_pressure,Inch_meter,Inch_dia,Support_Remain,Weld_Remain,Total_Support,SP_Welded,Total_DIA,WELD_DONE,Welding %,Package_Generation,Execution_Work,NDT,HS,LC,CL,H/V/P,DD,FC,RE,FD,Remark,RT_REMAIN(Joint),PT_REMAIN(Joint),PWHT_REMAIN(Joint),UT_REMAIN(Joint),PMI_REMAIN(Joint),REPAIR,Cutout,RTRP
05-Reinstatment,STP,0730,3000-01-VA-11-730,09-Reinstatment,FINAL_AG,3000-01,VISUAL,0,0,57.75,0,0,1,1,57,57,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0739,4000-09-WWO-04-739,09-Reinstatment,FINAL_AG,4000-09,VISUAL,0,0,7.5,0,0,,,7.5,7.5,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0744,2000-05-RFG-09-744,09-Reinstatment,FINAL_AG,2000-05,DEM WATER,43.5,0,66,0,0,,,66,66,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0749,3000-04-VA-01-749,09-Reinstatment,FINAL_AG,3000-04,VISUAL,0,0,17,0,0,1,1,17,17,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0750,3000-04-VA-02-750,09-Reinstatment,FINAL_AG,3000-04,VISUAL,0,0,5,0,0,,,5,5,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0753,4000-04-VA-09-753,09-Reinstatment,FINAL_AG,4000-04,VISUAL,0,0,24,0,0,2,2,24,24,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0765,7000-01-PMW-02-765,09-Reinstatment,FINAL_AG,7000-01,WATER,3.3,0,80,0,0,6,6,80,80,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0766,5000-01-PMW-03-766,09-Reinstatment,FINAL_AG,5000-01,DEM WATER,5.25,0,51.75,0,0,,,51,51,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0768,2000-05-PRC-15-768,09-Reinstatment,-,2000-05,DEM WATER,112,0,28,0,0,,,28,28,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0769,2000-05-PRC-16-769,09-Reinstatment,FINAL_AG,2000-05,DEM WATER,112,0,16,0,0,,,16,16,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0776,5000-05-N-01-776,09-Reinstatment,FINAL_UTL,5000-05,WATER,5.2,0,20,0,0,,,19.25,19.25,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0777,4000-11-IA-03-777,09-Reinstatment,FINAL_AG,4000-11,WATER,15.75,0,36,0,0,1,1,36,36,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0782,4000-06-DMW-19-782,09-Reinstatment,FINAL_AG,4000-06,VISUAL,0,0,16,0,0,,,16,16,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0783,4000-06-DMW-20-783,09-Reinstatment,FINAL_AG,4000-06,VISUAL,0,0,56,0,0,3,3,56,56,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0786,4000-06-DMW-23-786,09-Reinstatment,FINAL_AG,4000-06,VISUAL,0,0,4.5,0,0,,,4.5,4.5,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0790,4000-05-BD-08-790,09-Reinstatment,FINAL_AG,4000-05,WATER,5.2,0,33.5,0,0,3,3,32,32,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0791,4000-05-BD-09-791,09-Reinstatment,FINAL_AG,4000-05,WATER,5.25,0,12,0,0,,,12,12,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0801,5000-01-PG-02-801,09-Reinstatment,FINAL_AG,5000-01,WATER,5.2,0,48,0,0,1,1,48,48,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0811,3000-03-CD-01-811,09-Reinstatment,FINAL_AG,3000-03,DEM WATER,15,0,10,0,0,,,10,10,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0823,4000-06-SRW-16-823,09-Reinstatment,FINAL_AG,4000-06,WATER,17.25,0,9,0,0,,,8.25,8.25,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0824,4000-06-SRW-17-824,09-Reinstatment,FINAL_AG,4000-06,WATER,17.25,0,9,0,0,,,8.25,8.25,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0825,4000-06-SRW-18-825,09-Reinstatment,FINAL_AG,4000-06,WATER,17.25,0,9,0,0,,,8.25,8.25,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0826,4000-06-SRW-19-826,09-Reinstatment,FINAL_AG,4000-06,WATER,17.25,0,9,0,0,,,8.25,8.25,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0827,4000-06-SRW-20-827,09-Reinstatment,FINAL_AG,4000-06,WATER,17.25,0,7.5,0,0,,,6.75,6.75,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0828,4000-06-SRW-21-828,09-Reinstatment,FINAL_AG,4000-06,WATER,17.25,0,6,0,0,,,5.25,5.25,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0829,4000-06-SRW-22-829,09-Reinstatment,FINAL_UTL,4000-06,WATER,17.25,0,6,0,0,,,5.25,5.25,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0830,4000-06-SRW-23-830,09-Reinstatment,FINAL_UTL,4000-06,WATER,17.25,0,6,0,0,,,5.25,5.25,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0833,3000-03-PMC-09-833,09-Reinstatment,FINAL_AG,3000-03,DEM WATER,10.5,0,12,0,0,,,12,12,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0838,4000-09-WWO-05-838,09-Reinstatment,FINAL_AG,4000-09,VISUAL,0,0,16,0,0,,,16,16,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0839,4000-09-WWO-06-839,09-Reinstatment,FINAL_AG,4000-09,VISUAL,0,0,20,0,0,,,20,20,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0840,4000-09-WWO-07-840,09-Reinstatment,FINAL_AG,4000-09,VISUAL,0,0,20,0,0,,,20,20,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0850,3000-04-HG-04-850,09-Reinstatment,FINAL_AG,3000-04,WATER,90,0,4,0,0,,,4,4,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0851,2000-05-PRC-20-851,09-Reinstatment,B,2000-05,DEM WATER,120,0,7.5,0,0,,,7.5,7.5,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0861,3000-01-HPC-01-861,09-Reinstatment,B,3000-01,VISUAL,0,0,15,0,0,,,15,15,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0867,7000-01-FLG-12-867,09-Reinstatment,-,7000-01,DEM WATER,159.8,0,44,0,0,1,1,44,44,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0896,3000-03-SG-10-896,09-Reinstatment,FINAL_AG,3000-03,DEM WATER,148.5,0,1932.5,0,0,12,12,1872.5,1872.5,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0897,3000-02-SG-09-897,09-Reinstatment,FINAL_AG,3000-02,DEM WATER,148.5,0,289.5,0,0,,,257.5,257.5,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0898,4000-08-LO-05-898,09-Reinstatment,B,4000-08,DEM WATER,10,0,64,0,0,2,2,64,64,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0899,4000-08-LO-02-899,09-Reinstatment,B,4000-08,DEM WATER,10,0,100,0,0,3,3,100,100,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0900,4000-08-LO-03-900,09-Reinstatment,B,4000-08,DEM WATER,10,0,108,0,0,2,2,108,108,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0901,4000-08-LO-04-901,09-Reinstatment,B,4000-08,DEM WATER,10,0,60,0,0,3,3,60,60,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0910,7000-01-FLG-14-910,09-Reinstatment,FINAL_AG,7000-01,AIR,5.5,0,143.25,0,0,,,141,141,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0912,4000-01-N-05-912,09-Reinstatment,FINAL_UTL,4000-01,WATER,15.8,0,192,0,0,2,2,180,180,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0918,4000-06-DMW-25-918,09-Reinstatment,FINAL_AG,4000-06,DEM WATER,16.5,0,102,0,0,1,1,102,102,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0919,4000-11-IA-04-919,09-Reinstatment,FINAL_UTL,4000-11,WATER,15.75,0,215.75,0,0,,,213.75,213.75,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0920,4000-01-N-06-920,09-Reinstatment,FINAL_UTL,4000-01,WATER,15.75,0,91,0,0,1,1,91,91,1,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
05-Reinstatment,STP,0921,1000-01-NG-06-921,09-Reinstatment,FINAL_AG,1000-01,WATER,10.5,0,195,0,2,2,2,192,190,0.989583333333333,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,,,,,,,,,,
